customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0000001,Male,0,No,No,2,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,138.01,356.99,Yes
C0000002,Female,1,No,No,7,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,90.5,733.4,Yes
C0000003,Male,0,No,No,19,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),79.58,1545.0,No
C0000004,Male,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,72.28,3222.46,No
C0000005,Male,0,Yes,No,4,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,115.72,462.21,Yes
C0000006,Female,1,Yes,No,26,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),67.52,1801.28,No
C0000007,Male,0,Yes,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,119.33,738.55,Yes
C0000008,Male,0,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),76.27,2586.75,No
C0000009,Male,0,Yes,No,23,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,111.54,2505.99,Yes
C0000010,Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),110.2,1549.25,Yes
C0000011,Male,0,Yes,Yes,20,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),29.1,518.64,Yes
C0000012,Male,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,87.22,3515.61,No
C0000013,Male,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),115.2,1081.59,Yes
C0000014,Male,0,No,Yes,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,52.03,1416.06,No
C0000015,Female,0,Yes,No,3,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,54.43,54.43,Yes
C0000016,Male,0,Yes,No,24,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,35.76,918.29,No
C0000017,Female,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),84.2,2396.9,No
C0000018,Female,0,No,Yes,11,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,52.34,603.58,Yes
C0000019,Female,1,Yes,No,31,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),96.69,3034.32,No
C0000020,Male,0,No,No,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),35.11,532.74,No
C0000021,Female,1,Yes,No,55,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),100.73,5457.0,No
C0000022,Male,0,Yes,No,2,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Credit card (automatic),59.77,137.94,Yes
